Entry Time,Type,Entry Price,Take Profit,Stop Loss,Closing Price,Result,Profit/Loss,Balance,Risk-Reward
2020-01-09 22:00:00,short,1.11053,1.1075300000000001,1.11153,1.11153,Loss,1.0,99.0,3.0
2020-01-19 22:00:00,short,1.10907,1.10607,1.11007,1.11007,Loss,1.0,98.0,3.0
2020-01-25 22:00:00,short,1.10236,1.0993600000000001,1.10336,1.10336,Loss,1.0,97.0,3.0
2020-01-26 22:00:00,short,1.10303,1.10003,1.1040299999999998,1.10003,Win,3.0,100.0,3.0
2020-02-02 22:00:00,long,1.10939,1.11239,1.1083900000000002,1.1083900000000002,Loss,1.0,99.0,3.0
2020-02-04 22:00:00,short,1.10439,1.10139,1.1053899999999999,1.10139,Win,3.0,102.0,3.0
2020-02-06 22:00:00,short,1.09815,1.09515,1.0991499999999998,1.09515,Win,3.0,105.0,3.0
2020-02-08 22:00:00,short,1.09435,1.09135,1.0953499999999998,1.09135,Win,3.0,108.0,3.0
2020-02-09 22:00:00,short,1.09422,1.09122,1.0952199999999999,1.09122,Win,3.0,111.0,3.0
2020-02-11 22:00:00,short,1.09148,1.0884800000000001,1.09248,1.0884800000000001,Win,3.0,114.0,3.0
2020-02-13 22:00:00,short,1.0838700000000001,1.0808700000000002,1.08487,1.08487,Loss,1.0,113.0,3.0
2020-02-15 22:00:00,short,1.08292,1.0799200000000002,1.08392,1.08392,Loss,1.0,112.0,3.0
2020-02-19 22:00:00,short,1.08034,1.0773400000000002,1.08134,1.08134,Loss,1.0,111.0,3.0
2020-02-29 22:00:00,long,1.10247,1.10547,1.1014700000000002,1.10547,Win,3.0,114.0,3.0
2020-03-01 22:00:00,long,1.10447,1.10747,1.1034700000000002,1.10747,Win,3.0,117.0,3.0
2020-03-03 22:00:00,long,1.11691,1.11991,1.1159100000000002,1.1159100000000002,Loss,1.0,116.0,3.0
2020-03-07 22:00:00,long,1.12852,1.1315199999999999,1.12752,1.1315199999999999,Win,3.0,119.0,3.0
2020-03-08 21:00:00,long,1.13535,1.13835,1.1343500000000002,1.13835,Win,3.0,122.0,3.0
2020-03-14 21:00:00,short,1.11034,1.1073400000000002,1.11134,1.1073400000000002,Win,3.0,125.0,3.0
2020-03-18 21:00:00,short,1.09088,1.0878800000000002,1.09188,1.0878800000000002,Win,3.0,128.0,3.0
2020-03-28 21:00:00,long,1.11317,1.1161699999999999,1.11217,1.11217,Loss,1.0,127.0,3.0
2020-03-29 21:00:00,long,1.11171,1.1147099999999999,1.11071,1.11071,Loss,1.0,126.0,3.0
2020-03-31 21:00:00,short,1.10289,1.09989,1.1038899999999998,1.09989,Win,3.0,129.0,3.0
2020-04-04 21:00:00,short,1.0806,1.0776000000000001,1.0816,1.0816,Loss,1.0,128.0,3.0
2020-04-11 21:00:00,long,1.09315,1.09615,1.0921500000000002,1.09615,Win,3.0,131.0,3.0
2020-05-02 21:00:00,long,1.09785,1.1008499999999999,1.09685,1.09685,Loss,1.0,130.0,3.0
2020-05-05 21:00:00,short,1.08365,1.08065,1.08465,1.08065,Win,3.0,133.0,3.0
2020-05-06 21:00:00,short,1.07922,1.0762200000000002,1.08022,1.08022,Loss,1.0,132.0,3.0
2020-05-19 21:00:00,long,1.09219,1.0951899999999999,1.09119,1.0951899999999999,Win,3.0,135.0,3.0
2020-05-24 21:00:00,short,1.08933,1.08633,1.0903299999999998,1.0903299999999998,Loss,1.0,134.0,3.0
2020-05-27 21:00:00,long,1.10026,1.10326,1.0992600000000001,1.10326,Win,3.0,137.0,3.0
2020-05-30 21:00:00,long,1.1100700000000001,1.11307,1.1090700000000002,1.11307,Win,3.0,140.0,3.0
2020-05-31 21:00:00,long,1.11148,1.11448,1.1104800000000001,1.11448,Win,3.0,143.0,3.0
2020-06-03 21:00:00,long,1.12328,1.12628,1.1222800000000002,1.12628,Win,3.0,146.0,3.0
2020-06-06 21:00:00,long,1.12888,1.13188,1.1278800000000002,1.13188,Win,3.0,149.0,3.0
2020-06-10 21:00:00,long,1.13719,1.1401899999999998,1.13619,1.1401899999999998,Win,3.0,152.0,3.0
2020-06-14 21:00:00,short,1.1233,1.1203,1.1242999999999999,1.1242999999999999,Loss,1.0,151.0,3.0
2020-06-23 21:00:00,long,1.1307,1.1337,1.1297000000000001,1.1297000000000001,Loss,1.0,150.0,3.0
2020-06-27 21:00:00,short,1.12159,1.1185900000000002,1.12259,1.12259,Loss,1.0,149.0,3.0
2020-07-07 21:00:00,long,1.12728,1.13028,1.1262800000000002,1.13028,Win,3.0,152.0,3.0
2020-07-14 21:00:00,long,1.13992,1.14292,1.1389200000000002,1.14292,Win,3.0,155.0,3.0
